year,month,Mkt-RF,SMB,HML,RMW,CMA,RF,end,%_change,excess_ret
2009,1,-8.12,-2.08,-11.11,0.11,-1.19,0.0,2009-01-02,-9.45833333333333,-9.45833333333333
2009,2,-10.1,-1.3,-6.91,1.11,-1.05,0.01,2009-02-02,-25.908881730326733,-25.918881730326735
2009,3,8.95,0.66,3.34,-2.52,-2.19,0.02,2009-03-02,13.04347826086955,13.02347826086955
2009,4,10.18,7.04,5.26,1.28,0.11,0.01,2009-04-01,21.538461538461547,21.528461538461546
2009,5,5.21,-2.31,0.37,-0.74,-2.2,0.0,2009-05-01,17.811934900542482,17.811934900542482
2009,6,0.43,2.31,-2.72,-1.34,-0.31,0.01,2009-06-01,-7.789716039907896,-7.799716039907896
2009,7,7.72,2.4,4.84,-0.36,3.15,0.01,2009-07-01,5.326674989596328,5.316674989596328
2009,8,3.33,-0.08,7.63,-2.92,3.3,0.01,2009-08-03,1.8964836033188481,1.8864836033188481
2009,9,4.08,2.72,1.04,1.25,0.35,0.01,2009-09-01,-2.7530050407134583,-2.763005040713458
2009,10,-2.59,-4.92,-4.2,4.17,-1.46,0.0,2009-10-01,-3.5087719298245577,-3.5087719298245577
2009,11,5.56,-2.68,-0.33,0.98,0.11,0.0,2009-11-02,4.421487603305787,4.421487603305787
2010,1,-3.36,0.35,0.43,-1.23,0.44,0.0,2010-01-04,-12.725381414701797,-12.725381414701797
2010,2,3.4,1.51,3.22,-0.28,1.4,0.0,2010-02-01,2.0659515295987267,2.0659515295987267
2010,3,6.31,1.85,2.21,-0.63,1.67,0.01,2010-03-01,1.5181004281821604,1.5081004281821604
2010,4,2.0,4.98,2.89,0.7,1.74,0.01,2010-04-01,-2.2239263803680918,-2.2339263803680915
2010,5,-7.89,0.04,-2.44,1.27,-0.23,0.01,2010-05-03,-3.176470588235289,-3.186470588235289
2010,6,-5.57,-2.47,-4.7,-0.18,-1.55,0.01,2010-06-01,-10.368570271364934,-10.378570271364934
2010,7,6.93,0.16,-0.3,0.26,1.99,0.01,2010-07-01,6.597379123361955,6.587379123361956
2010,8,-4.77,-3.11,-1.96,0.58,-1.66,0.01,2010-08-02,1.7380245866892758,1.7280245866892758
2010,9,9.54,3.76,-3.17,-0.19,0.37,0.01,2010-09-01,10.041666666666666,10.031666666666666
2010,10,3.88,0.86,-2.49,1.27,-0.31,0.01,2010-10-01,4.165088981446427,4.155088981446427
2010,11,0.6,3.66,-0.88,0.4,1.51,0.01,2010-11-01,-5.125408942202835,-5.135408942202835
2010,12,6.82,0.98,3.78,-3.53,3.16,0.01,2010-12-01,7.164750957854396,7.154750957854397
2011,1,1.99,-2.37,0.77,-0.65,0.83,0.01,2011-01-03,1.8233821952091582,1.8133821952091582
2011,2,3.49,1.61,1.24,-1.93,0.87,0.01,2011-02-01,3.9676966292134797,3.95769662921348
2011,3,0.46,2.64,-1.88,1.79,0.0,0.01,2011-03-01,1.3508949679162516,1.3408949679162516
2011,4,2.9,-0.5,-2.48,1.08,-0.85,0.0,2011-04-01,5.73142285904698,5.73142285904698
2011,5,-1.27,-0.71,-2.0,1.88,-1.46,0.0,2011-05-02,-3.8449416955562525,-3.8449416955562525
2011,6,-1.75,0.13,-0.38,2.44,-1.48,0.0,2011-06-01,-4.850868567682729,-4.850868567682729
2011,7,-2.35,-1.22,-0.91,2.73,-1.78,0.0,2011-07-01,-1.7912504305890444,-1.7912504305890444
